mbin,histogram
3.5250,0.0000
3.5750,0.0000
3.6250,0.0000
3.6750,0.0306
3.7250,0.2606
3.7750,0.7440
3.8250,1.4509
3.8750,1.8891
3.9250,2.0580
3.9750,1.8222
4.0250,1.6984
4.0750,1.4320
4.1250,1.1619
4.1750,0.9879
4.2250,0.7680
4.2750,0.6770
4.3250,0.5766
4.3750,0.5140
4.4250,0.4215
4.4750,0.3669
4.5250,0.3283
4.5750,0.3028
4.6250,0.2482
4.6750,0.2220
4.7250,0.2060
4.7750,0.1703
4.8250,0.1485
4.8750,0.1347
4.9250,0.1267
4.9750,0.1114
5.0250,0.0888
5.0750,0.0815
5.1250,0.0743
5.1750,0.0662
5.2250,0.0524
5.2750,0.0502
5.3250,0.0597
5.3750,0.0422
5.4250,0.0495
5.4750,0.0320
5.5250,0.0473
5.5750,0.0357
5.6250,0.0211
5.6750,0.0328
5.7250,0.0277
5.7750,0.0313
5.8250,0.0218
5.8750,0.0189
5.9250,0.0204
5.9750,0.0160
6.0250,0.0160
6.0750,0.0146
6.1250,0.0102
6.1750,0.0153
6.2250,0.0138
6.2750,0.0131
6.3250,0.0131
6.3750,0.0109
6.4250,0.0102
6.4750,0.0080
6.5250,0.0051
6.5750,0.0073
6.6250,0.0051
6.6750,0.0058
6.7250,0.0087
6.7750,0.0058
6.8250,0.0066
6.8750,0.0058
6.9250,0.0073
6.9750,0.0051
7.0250,0.0073
7.0750,0.0051
7.1250,0.0058
7.1750,0.0029
7.2250,0.0007
7.2750,0.0022
7.3250,0.0036
7.3750,0.0029
7.4250,0.0000
7.4750,0.0015
7.5250,0.0022
7.5750,0.0022
7.6250,0.0066
7.6750,0.0015
7.7250,0.0015
7.7750,0.0029
7.8250,0.0015
7.8750,0.0015
7.9250,0.0000
7.9750,0.0029
8.0250,0.0000
8.0750,0.0007
8.1250,0.0007
8.1750,0.0022
8.2250,0.0015
8.2750,0.0015
8.3250,0.0015
8.3750,0.0000
8.4250,0.0007
8.4750,0.0000
8.5250,0.0015
8.5750,0.0022
8.6250,0.0000
8.6750,0.0007
8.7250,0.0015
8.7750,0.0000
8.8250,0.0007
8.8750,0.0015
8.9250,0.0015
8.9750,0.0007
9.0250,0.0015
9.0750,0.0007
9.1250,0.0007
9.1750,0.0000
9.2250,0.0000
9.2750,0.0000
9.3250,0.0000
9.3750,0.0000
9.4250,0.0007
9.4750,0.0022
9.5250,0.0000
9.5750,0.0000
9.6250,0.0000
9.6750,0.0007
9.7250,0.0000
9.7750,0.0000
9.8250,0.0000
9.8750,0.0000
9.9250,0.0000
9.9750,0.0000
10.0250,0.0000
10.0750,0.0000
10.1250,0.0000
10.1750,0.0000
10.2250,0.0000
10.2750,0.0000
10.3250,0.0000
10.3750,0.0007
10.4250,0.0007
10.4750,0.0000
10.5250,0.0000
10.5750,0.0000
10.6250,0.0000
10.6750,0.0000
10.7250,0.0000
10.7750,0.0015
10.8250,0.0000
10.8750,0.0000
10.9250,0.0000
10.9750,0.0000
11.0250,0.0000
11.0750,0.0000
11.1250,0.0000
11.1750,0.0000
11.2250,0.0000
11.2750,0.0000
11.3250,0.0000
11.3750,0.0000
11.4250,0.0000
11.4750,0.0000
11.5250,0.0000
11.5750,0.0007
11.6250,0.0000
11.6750,0.0000
11.7250,0.0000
11.7750,0.0000
11.8250,0.0000
11.8750,0.0000
11.9250,0.0000
11.9750,0.0000
12.0250,0.0000
12.0750,0.0000
12.1250,0.0000
12.1750,0.0000
12.2250,0.0000
12.2750,0.0000
12.3250,0.0000
12.3750,0.0000
12.4250,0.0000
12.4750,0.0000
12.5250,0.0000
12.5750,0.0000
12.6250,0.0000
12.6750,0.0000
12.7250,0.0000
12.7750,0.0000
12.8250,0.0000
12.8750,0.0000
12.9250,0.0000
12.9750,0.0000
13.0250,0.0000
13.0750,0.0000
13.1250,0.0000
13.1750,0.0000
13.2250,0.0000
13.2750,0.0000
13.3250,0.0000
13.3750,0.0000
13.4250,0.0000
13.4750,0.0000
13.5250,0.0000
13.5750,0.0000
13.6250,0.0000
13.6750,0.0000
13.7250,0.0000
13.7750,0.0000
13.8250,0.0000
13.8750,0.0000
13.9250,0.0000
13.9750,0.0000
