mbin, hist 
  0.0200,   0.6445 
  0.0600,   1.9696 
  0.1000,   2.9113 
  0.1400,   3.2596 
  0.1800,   3.0753 
  0.2200,   2.6673 
  0.2600,   2.0484 
  0.3000,   1.4796 
  0.3400,   1.1153 
  0.3800,   0.8756 
  0.4200,   0.6658 
  0.4600,   0.5678 
  0.5000,   0.4911 
  0.5400,   0.4367 
  0.5800,   0.4154 
  0.6200,   0.3526 
  0.6600,   0.3473 
  0.7000,   0.3292 
  0.7400,   0.2684 
  0.7800,   0.2482 
  0.8200,   0.2216 
  0.8600,   0.1949 
  0.9000,   0.1555 
  0.9400,   0.1268 
  0.9800,   0.1321 
